segment,seller type,certified,city,make,model,trim,odometer,fuel,trans,rto,selling price,locality,pincode,owner,color,age
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W8 (O) 1.5 DIESEL,85655.0,Diesel,Manual,KA-36,746300.0,bellahalli,560064.0,2.0,White,5.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W6 1.5 DIESEL,60070.0,Diesel,Manual,KA-16,779500.0,koramangala,560034.0,1.0,White,6.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Alto K10,LXI,38055.0,Petrol,Manual,KA-51,360000.0,bellahalli,560064.0,2.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Renault,Kwid,RXT 1.0 (O),99150.0,Petrol,Manual,KA-03,252898.0,yeswanthpur,560022.0,1.0,Silver,8.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Polo,HIGHLINE DIESEL,86236.0,Diesel,Manual,KA-01,380300.0,bellahalli,560064.0,1.0,White,13.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Creta,SX (O) IVT 1.5 PETROL,22917.0,Petrol,Automatic,KA-01,1640000.0,bhoruka tech park,560066.0,1.0,White,3.0
Mass Market,S1 Owned,Yes,Bangalore,Kia,SONET,HTX PLUS 1.0 TURBO PETROL IMT,16306.0,Petrol,Manual,KA-51,950400.0,bellahalli,560064.0,1.0,Blue,2.0
Mass Market,S1 Owned,Yes,Bangalore,Skoda,Octavia,ELEGANCE 2.0 TDI AT,105095.0,Diesel,Automatic,KA-03,617399.0,bellahalli,560064.0,2.0,Black,13.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Ertiga,VXI AT SHVS,62696.0,Petrol,Automatic,KA-03,850000.0,bellahalli,560064.0,1.0,Red,5.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ALPHA 1.2 AGS,30327.0,Petrol,Automatic,KA-03,790000.0,bhoruka tech park,560066.0,1.0,Blue,3.0
Mass Market,S1 Owned,Yes,Bangalore,Hyundai,Elite i20,ASTA 1.2,26929.0,Petrol,Manual,KA-51,498700.0,yeswanthpur,560022.0,1.0,Red,11.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Baleno,ZETA PETROL 1.2,61627.0,Petrol,Manual,KA-01,590606.0,koramangala,560034.0,1.0,Red,5.0
Mass Market,S1 Owned,Yes,Bangalore,Maruti Suzuki,Vitara Brezza,ZDI,79312.0,Diesel,Manual,KA-51,620000.0,bellahalli,560064.0,1.0,White,10.0
Mass Market,S1 Owned,Yes,Bangalore,Volkswagen,Vento,HIGHLINE 1.6 MPI,93886.0,Petrol,Manual,KA-03,464500.0,bellahalli,560064.0,1.0,Brown,9.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM 1.0L ECOBOOST,102892.0,Petrol,Manual,KA-56,298529.0,bellahalli,560064.0,2.0,White,13.0
Mass Market,S1 Owned,Yes,Bangalore,Ford,Ecosport,TITANIUM 1.0L ECOBOOST,67448.0,Petrol,Manual,KA-03,390000.0,bellahalli,560064.0,1.0,Silver,12.0
Mass Market,S1 Owned,Yes,Bangalore,Tata,Tiago,XZA PLUS PETROL,78371.0,Petrol,Automatic,KA-04,368200.0,bellahalli,560064.0,2.0,Brown,7.0
Mass Market,S1 Owned,Yes,Bangalore,Honda,City,1.5L I-VTEC VX (O) MT,130604.0,Petrol,Manual,KA-05,470000.0,bellahalli,560064.0,1.0,Brown,10.0
Mass Market,S1 Owned,Yes,Bangalore,Mahindra,XUV300,W6 1.5 DIESEL AMT,130259.0,Diesel,Automatic,KA-03,521600.0,bhoruka tech park,560066.0,1.0,Red,7.0
