brand,model,variant,locality,rto,fuel_type,transmission,seller_type,color,vehicle_age,odometer_reading,km_per_year,owner_count,certified,pincode,selling_price
renault,kwid,climber 1.0,whitefield,ka-04,petrol,manual,dealer,blue,6.0,66000.0,11000.0,2,1.0,560066.0,308000.0
skoda,rapid,1.5 tdi cr style plus at,malleshwaram,ka-05,diesel,automatic,dealer,brown,10.0,97000.0,9700.0,2,0.0,560003.0,473000.0
volkswagen,polo,comfortline 1.0l (p),whitefield,ka-05,petrol,manual,dealer,white,7.0,46500.0,6642.9,1,0.0,560066.0,589000.0
mahindra,kuv100,k8 6 str,whitefield,wb-24,petrol,manual,dealer,black,10.0,23000.0,2300.0,1,1.0,560066.0,355000.0
honda,city,sv,whitefield,ka-53,petrol,manual,dealer,grey,12.0,97500.0,8125.0,1,0.0,560066.0,430000.0
toyota,corolla altis,1.8 g,malleshwaram,hr-26,petrol,manual,dealer,white,13.0,88000.0,6769.2,2,0.0,560003.0,431000.0
hyundai,grand i10,sportz 1.2 kappa vtvt,malleshwaram,wb-02,petrol,manual,dealer,grey,12.0,52000.0,4333.3,1,0.0,560003.0,355000.0
skoda,kushaq,ambition 1.0 tsi at,hebbal,ka-52,petrol,automatic,dealer,white,2.0,32000.0,16000.0,1,1.0,562157.0,1270000.0
hyundai,i10,magna 1.2 kappa2,malleshwaram,dl-7,petrol,manual,dealer,grey,14.0,106500.0,7607.1,1,0.0,560003.0,213000.0
ford,figo,duratec petrol zxi 1.2,whitefield,ka-03,petrol,manual,dealer,grey,13.0,73500.0,5653.8,1,0.0,560066.0,228000.0
renault,kwid,rxl (o) 1.0,malleshwaram,ka-02,petrol,manual,dealer,silver,4.0,10000.0,2500.0,1,1.0,560003.0,411000.0
skoda,kushaq,style 1.5l tsi mt,hebbal,ka-36,petrol,manual,dealer,white,4.0,45500.0,11375.0,1,1.0,560103.0,1220000.0
datsun,redi-go,s 1.0 amt,malleshwaram,ka-05,petrol,automatic,dealer,white,8.0,56500.0,7062.5,2,0.0,560003.0,263000.0
maruti suzuki,swift,vxi amt,malleshwaram,ka-05,petrol,automatic,dealer,white,4.0,47000.0,11750.0,1,0.0,560003.0,585000.0
tata,nexon,xz plus,whitefield,ka-51,petrol,manual,dealer,green,3.0,17000.0,5666.7,1,1.0,560066.0,909000.0
hyundai,new i20,asta (o) 1.0 turbo dct dual tone,whitefield,ka-05,petrol,automatic,dealer,red,5.0,112000.0,22400.0,1,0.0,560066.0,732000.0
tata,punch,creative dual tone amt sunroof,bannerghatta,ka-03,petrol,automatic,dealer,blue,0.0,12500.0,25000.0,1,1.0,560076.0,884000.0
maruti suzuki,grand vitara,delta smart hybrid,whitefield,ka-26,petrol,manual,dealer,white,3.0,23000.0,7666.7,1,1.0,560066.0,1049000.0
mahindra,xuv700,ax 5 diesel at 7 str,hebbal,ka-19,diesel,automatic,dealer,blue,3.0,46000.0,15333.3,1,1.0,560103.0,1763000.0
maruti suzuki,vitara brezza,zdi plus dual tone ags,bannerghatta,hr-26,diesel,automatic,dealer,red,7.0,110500.0,15785.7,1,0.0,560076.0,702000.0
maruti suzuki,baleno,zeta 1.2 at,whitefield,dl-8,petrol,automatic,dealer,red,10.0,40000.0,4000.0,2,1.0,560066.0,476000.0
honda,city,1.5 v mt,whitefield,dl-4,petrol,manual,dealer,white,14.0,71000.0,5071.4,1,0.0,560066.0,340000.0
hyundai,new i20,asta (o) 1.0 turbo dct,malleshwaram,ka-22,petrol,automatic,dealer,white,3.0,58000.0,19333.3,1,1.0,560003.0,826000.0
maruti suzuki,wagon r 1.0,vxi,hebbal,ka-05,petrol,manual,dealer,red,14.0,43500.0,3107.1,2,0.0,562157.0,253000.0
honda,city,vx cvt,whitefield,ka-01,petrol,automatic,dealer,brown,11.0,8500.0,772.7,2,0.0,560066.0,585000.0
maruti suzuki,dzire,vxi amt,whitefield,ka-01,petrol,automatic,dealer,blue,7.0,75500.0,10785.7,1,1.0,560066.0,549000.0
toyota,glanza,v amt,whitefield,ka-02,petrol,automatic,dealer,red,3.0,28000.0,9333.3,1,1.0,560066.0,837000.0
maruti suzuki,s-cross,zeta 1.3,malleshwaram,ka-05,diesel,manual,dealer,grey,10.0,95500.0,9550.0,1,0.0,560003.0,569000.0
hyundai,venue,sx 1.0 turbo petrol,bannerghatta,ka-45,petrol,manual,dealer,white,6.0,28500.0,4750.0,2,1.0,560076.0,676000.0
maruti suzuki,xl6,zeta mt petrol,bannerghatta,ka-03,petrol,manual,dealer,silver,3.0,9000.0,3000.0,1,1.0,560076.0,1107000.0
mahindra,scorpio n,z8 l diesel mt 2wd 7 str,hebbal,ka-01,diesel,manual,dealer,green,3.0,16500.0,5500.0,2,0.0,562157.0,1666000.0
jeep,compass,limited plus petrol at,whitefield,ka-09,petrol,automatic,dealer,white,7.0,48500.0,6928.6,1,0.0,560066.0,1265000.0
maruti suzuki,fronx,delta plus 1.2l mt,bannerghatta,ka-01,petrol,manual,dealer,blue,3.0,11000.0,3666.7,2,1.0,560076.0,731000.0
audi,q3,35 tdi quattro premium plus,whitefield,ka-01,diesel,automatic,dealer,white,8.0,64500.0,8062.5,1,0.0,560066.0,1755000.0
tata,nexon,xza plus diesel,bannerghatta,ka-03,diesel,automatic,dealer,grey,8.0,30500.0,3812.5,2,1.0,560076.0,691000.0
maruti suzuki,vitara brezza,zdi plus ags,bannerghatta,ka-05,diesel,automatic,dealer,grey,8.0,36500.0,4562.5,2,1.0,560076.0,747000.0
jeep,compass,limited (o) 2.0 diesel,whitefield,ka-04,diesel,manual,dealer,white,7.0,69500.0,9928.6,1,0.0,560066.0,1145000.0
ford,ecosport,titanium 1.5l tdci,bannerghatta,ka-22,diesel,manual,dealer,white,6.0,34500.0,5750.0,2,1.0,560076.0,747000.0
mahindra,xuv500,w10 at,hebbal,ka-19,diesel,automatic,dealer,silver,10.0,44500.0,4450.0,1,1.0,560103.0,1001000.0
bmw,x1,sdrive18i m sport,whitefield,ka-51,petrol,automatic,dealer,white,2.0,25500.0,12750.0,1,0.0,560066.0,4100000.0
maruti suzuki,alto k10,vxi cng (outside fitted),bannerghatta,ka-53,cng,manual,dealer,red,12.0,19500.0,1625.0,1,0.0,560076.0,296000.0
maruti suzuki,swift,vxi,malleshwaram,ka-06,petrol,manual,dealer,grey,10.0,55500.0,5550.0,1,0.0,560003.0,478000.0
maruti suzuki,celerio,zxi,hebbal,ka-51,petrol,manual,dealer,grey,10.0,43500.0,4350.0,2,1.0,562157.0,349000.0
maruti suzuki,baleno,zeta automatic,malleshwaram,ka-51,petrol,automatic,dealer,red,5.0,42500.0,8500.0,1,1.0,560003.0,650000.0
renault,triber,rxz,whitefield,ka-04,petrol,manual,dealer,white,7.0,27500.0,3928.6,2,1.0,560066.0,498000.0
ford,ecosport,titanium 1.5l tdci,malleshwaram,hr-26,diesel,manual,dealer,orange,10.0,63000.0,6300.0,2,0.0,560003.0,481000.0
ford,figo,duratorq diesel titanium 1.4,whitefield,ka-01,diesel,manual,dealer,white,14.0,105500.0,7535.7,2,0.0,560066.0,198000.0
mahindra,tuv300,t6,mysore road,ka-18,diesel,manual,dealer,red,9.0,128500.0,14277.8,1,0.0,560039.0,511000.0
tata,tiago ev,xz plus tech lux long range,whitefield,ka-51,electric,automatic,dealer,blue,3.0,22500.0,7500.0,2,1.0,560066.0,694000.0
renault,kwid,1.0 rxl amt,hebbal,ka-04,petrol,automatic,dealer,silver,9.0,17000.0,1888.9,2,1.0,562157.0,312000.0
tata,nexon,xza plus petrol,whitefield,ka-53,petrol,automatic,dealer,white,7.0,106000.0,15142.9,1,0.0,560066.0,610000.0
volkswagen,polo,highline plus 1.2( p)16 alloy,hebbal,ka-05,petrol,manual,dealer,grey,8.0,58000.0,7250.0,1,1.0,562157.0,611000.0
