city,year,make,model,trim,odometer,fuel,trans,rto,price,segment,seller type,locality,pincode,age
Bangalore,2019.0,Maruti Suzuki,Swift,VXI,92085.0,Petrol,Manual,KA-02,540000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2013.0,Maruti Suzuki,SX4,ZXI,100645.0,Petrol,Manual,KA-22,230000.0,Mass Market,Direct Seller,bellahalli,560064.0,13.0
Bangalore,2018.0,Hyundai,Creta,SX (O) 1.6 PETROL,90709.0,Petrol,Manual,KA-05,777000.0,Mass Market,Direct Seller,bellahalli,560066.0,8.0
Bangalore,2024.0,Hyundai,VENUE N LINE,N8 1.0 TURBO DCT,21977.0,Petrol,Automatic,KA-25,1120000.0,Mass Market,Direct Seller,bellahalli,560066.0,2.0
Bangalore,2023.0,Hyundai,VENUE N LINE,N8 1.0 TURBO DCT,39380.0,Petrol,Automatic,KA-20,905000.0,Mass Market,Direct Seller,bellahalli,560064.0,3.0
Bangalore,2017.0,Maruti Suzuki,Baleno,ZETA DIESEL 1.3,75424.0,Diesel,Manual,KA-01,510000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2019.0,Tata,NEXON,XM PETROL,55820.0,Petrol,Manual,KA-04,592000.0,Mass Market,Direct Seller,bellahalli,560066.0,7.0
Bangalore,2021.0,Maruti Suzuki,Baleno,ALPHA PETROL 1.2,124770.0,Petrol,Manual,KA-04,569000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2021.0,Hyundai,VENUE,SX 1.0 TURBO IMT,31386.0,Petrol,Manual,KA-01,745000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2021.0,Renault,Kwid,RXT 1.0 (O),45641.0,Petrol,Manual,KA-03,350000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2015.0,Maruti Suzuki,Alto K10,VXI,127622.0,Petrol,Manual,KA-04,199000.0,Mass Market,Direct Seller,bellahalli,560066.0,11.0
Bangalore,2017.0,Renault,Kwid,RXT 1.0 AMT,24828.0,Petrol,Automatic,KA-04,319000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
Bangalore,2021.0,Kia,SELTOS,HTX 1.5 PETROL,49623.0,Petrol,Manual,KA-01,956000.0,Mass Market,Direct Seller,bellahalli,560066.0,5.0
Bangalore,2022.0,Kia,SELTOS,HTK PLUS 1.5 IMT,33734.0,Petrol,Manual,KA-51,989000.0,Mass Market,Direct Seller,bellahalli,560066.0,4.0
Bangalore,2017.0,Maruti Suzuki,Celerio,VXI AMT,18982.0,Petrol,Automatic,KA-41,389000.0,Mass Market,Direct Seller,bellahalli,560066.0,9.0
